context,pun_word,alter_word,pun_word_sense,alter_word_sense,new_pun,user_pun
"never die,tailors",pin,pin,ascribe blame or guilt for something to (someone),attach or fasten with pins,yes,"The tailors never really die, even if you pin them to a wall"
"never die,tailors",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,no,{}
"off,interpreters,die",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,I've always found interpreters extremely handy.
"off,interpreters,die",calling,calling,the particular occupation for which you are trained,a telephone connection,yes,Interpreters found their calling at the Apple store.
"off,interpreters,die",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"opera,orchestra conductors",oddly,odds,in a strange manner,the ratio by which one better's wager is greater than that of another,yes,"Orchestra conductors work against the odds, as they're always underdogs."
"opera,orchestra conductors",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,yes,The orchestra conductors gave out prince of sheet music.
"opera,orchestra conductors",lute,loot,"chordophone consisting of a plucked instrument having a pear-shaped body, a usually bent neck, and a fretted fingerboard",goods or money obtained illegally,no,{}
"out,husbands,fires",moonlighting,moonlighting,"work a second job, usually after hours",the light of the Moon,no,{}
"out,husbands,fires",flaming,flaming,informal intensifiers,be in flames or aflame,yes,My husband is flaming so I can't put out his fires.
"out,husbands,fires",handy,hand,useful and convenient,the (prehensile) extremity of the superior limb,yes,My husband is so handy with putting fires out that he only has 1 now.
peasant,coupe,coop,a car with two doors and front seats and a luggage compartment,a farm building for housing poultry,yes,"Clara the peasant wanted a ride in Bob's new coupe, but was disappointed to find it was actually a coop!"
peasant,feudal,futile,of or relating to or characteristic of feudalism,unproductive of success,no,{}
peasant,Fair,Fair,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,a traveling show; having sideshows and rides and games of skill etc.,no,{}
"pepper,salt",beet,beat,round red root vegetable,"come out better in a competition, race, or conflict",yes,Salted beets beat peppered beets said the writer on the beet beat.
"pepper,salt",cannily,cannes,with foresight,a port and resort city on the French Riviera; site of an annual film festival,no,{}
"pepper,salt",dry,dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,humorously sarcastic or mocking,yes,"""Keep your salt dry,"" said the wry cook dryly."
"photographers,people",frieze,freeze,an architectural ornament consisting of a horizontal sculptured band between the architrave and the cornice,weather cold enough to cause freezing,no,{}
"photographers,people",cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,no,{}
"photographers,people",interest,interest,a sense of concern with and curiosity about someone or something,a fixed charge for borrowing money; usually a percentage of the amount borrowed,yes,Why do photographers borrow money? Because they're interested!
"place,dairy farmers",cultured,cultured,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar),marked by refinement in taste and manners,yes,Dairy farmers seem to have the most culture.
"place,dairy farmers",kernel,colonel,a single whole grain of a cereal,a commissioned military officer in the United States Army or Air Force or Marines who ranks above a lieutenant colonel and below a brigadier general,no,{}
"place,dairy farmers",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
politics,feudal,futile,of or relating to or characteristic of feudalism,unproductive of success,yes,Trying to debate the politics of the lord was a feudal effort.
politics,interest,interest,a sense of concern with and curiosity about someone or something,a fixed charge for borrowing money; usually a percentage of the amount borrowed,yes,Certain people draw a lot of interest out of politics.
politics,rhyme,crime,a piece of poetry,(criminal law) an act punishable by law; usually considered an evil act,no,{}
"pop singer,bought,house",lease,least,a contract granting use or occupation of property during a specified time for a specified payment,the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree,no,{}
"pop singer,bought,house",interest,interest,a sense of concern with and curiosity about someone or something,a fixed charge for borrowing money; usually a percentage of the amount borrowed,no,{}
"pop singer,bought,house",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,yes,Did you hear about the pop singer who bought the castle? He can really call himself Prince now.
"prodigal son,bad  day",lamely,lame,in a weak and unconvincing manner,disabled in the feet or legs,no,{}
"prodigal son,bad  day",absinthe,absence,strong green liqueur flavored with wormwood and anise,the time interval during which something or somebody is away,yes,The family's bad day was due to the prodigal son's absinthe
"prodigal son,bad  day",lame,lame,pathetically lacking in force or effectiveness,disabled in the feet or legs,yes,Blame the bad day on the prodigal son for being lame.
"psychotic,florist",pin,pin,ascribe blame or guilt for something to (someone),attach or fasten with pins,no,{}
